frame_id,timestamp,raw_steer,raw_thr,final_steer,final_thr,act_steer,act_thr,lane_detected,n_objects,scenario
103,1775827765.5207,-0.97969,0.99856,-0.97969,0.34950,-0.97969,0.34950,1,0,0
104,1775827765.6820,-0.97830,0.99870,-0.97830,0.34954,-0.97830,0.34954,1,0,0
105,1775827765.8147,-0.96080,0.99853,-0.96080,0.34948,-0.96080,0.34948,1,0,0
106,1775827765.9310,-0.96269,0.99881,-0.96269,0.34958,-0.96269,0.34958,1,0,0
107,1775827766.0418,-0.89946,0.99867,-0.89946,0.34953,-0.89946,0.34953,1,0,0
108,1775827766.1537,-0.95971,0.99919,-0.95971,0.34972,-0.95971,0.34972,1,0,0
109,1775827766.2651,-0.95318,0.99928,-0.95318,0.34975,-0.95318,0.34975,1,0,0
110,1775827766.4599,-0.98581,0.99932,-0.98581,0.34976,-0.98581,0.34976,1,0,0
111,1775827766.6015,-0.94228,0.99872,-0.94228,0.34955,-0.94228,0.34955,1,0,0
112,1775827766.7225,-0.98966,0.99911,-0.98966,0.34969,-0.98966,0.34969,1,0,0
113,1775827766.8246,-0.97439,0.99872,-0.97439,0.34955,-0.97439,0.34955,1,0,0
114,1775827766.9413,-0.99578,0.99926,-0.99578,0.34974,-0.99578,0.34974,1,0,0
115,1775827767.0475,-0.99670,0.99935,-0.99670,0.34977,-0.99670,0.34977,1,0,0
116,1775827767.1651,-0.99278,0.99909,-0.99278,0.34968,-0.99278,0.34968,1,0,0
117,1775827767.3444,-0.99357,0.99904,-0.99357,0.34966,-0.99357,0.34966,1,0,0
118,1775827767.4834,-0.95784,0.99850,-0.95784,0.34947,-0.95784,0.34947,1,0,0
119,1775827767.6161,-0.94536,0.99879,-0.94536,0.34958,-0.94536,0.34958,1,0,0
120,1775827767.7248,-0.46109,0.99949,-0.46109,0.34982,-0.46109,0.34982,1,0,0
121,1775827767.8741,-0.46273,0.99897,-0.46273,0.34964,-0.46273,0.34964,1,0,0
122,1775827768.0163,-0.28674,0.99855,-0.28674,0.34949,-0.28674,0.34949,1,0,0
123,1775827768.1555,-0.26373,0.99784,-0.26373,0.34924,-0.26373,0.34924,1,0,0
124,1775827768.2971,-0.20722,0.99770,-0.20722,0.34919,-0.20722,0.34919,1,0,0
125,1775827768.4468,-0.20302,0.99774,-0.20302,0.34921,-0.20302,0.34921,1,0,0
126,1775827768.5928,-0.21820,0.99855,-0.21820,0.34949,-0.21820,0.34949,1,0,0
127,1775827768.7190,-0.23181,0.99891,-0.23181,0.34962,-0.23181,0.34962,1,0,0
128,1775827768.8267,-0.20975,0.99846,-0.20975,0.34946,-0.20975,0.34946,1,0,0
129,1775827768.9523,-0.29924,0.99917,-0.29924,0.34971,-0.29924,0.34971,1,0,0
130,1775827769.0878,-0.54355,0.99959,-0.54355,0.34986,-0.54355,0.34986,1,0,0
131,1775827769.1930,-0.56198,0.99965,-0.56198,0.34988,-0.56198,0.34988,1,0,0
132,1775827769.3194,-0.53253,0.99952,-0.53253,0.34983,-0.53253,0.34983,1,0,0
133,1775827769.4283,-0.79790,0.99983,-0.79790,0.34994,-0.79790,0.34994,1,0,0
134,1775827769.5697,-0.91081,0.99958,-0.91081,0.34985,-0.91081,0.34985,1,0,0
135,1775827769.7069,-0.89485,0.99919,-0.89485,0.34972,-0.89485,0.34972,1,0,0
136,1775827769.8512,-0.76364,0.99927,-0.76364,0.34975,-0.76364,0.34975,1,0,0
137,1775827769.9834,-0.76734,0.99952,-0.76734,0.34983,-0.76734,0.34983,1,0,0
138,1775827770.1369,-0.70447,0.99963,-0.70447,0.34987,-0.70447,0.34987,1,0,0
139,1775827770.3036,-0.55597,0.99957,-0.55597,0.34985,-0.55597,0.34985,1,0,0
140,1775827770.4514,-0.43760,0.99976,-0.43760,0.34992,-0.43760,0.34992,1,0,0
141,1775827770.5918,-0.38406,0.99976,-0.38406,0.34992,-0.38406,0.34992,1,0,0
142,1775827770.7099,-0.34727,0.99975,-0.34727,0.34991,-0.34727,0.34991,1,0,0
143,1775827770.8495,-0.11964,0.99985,-0.11964,0.34995,-0.11964,0.34995,1,0,0
144,1775827771.0227,-0.10052,0.99972,-0.10052,0.34990,-0.10052,0.34990,1,0,0
145,1775827771.1304,-0.05577,0.99981,-0.05577,0.34993,-0.05577,0.34993,1,0,0
146,1775827771.3235,+0.02359,0.99980,+0.02359,0.34993,+0.02359,0.34993,1,0,0
147,1775827771.4757,-0.08118,0.99979,-0.08118,0.34992,-0.08118,0.34992,1,0,0
148,1775827771.6193,-0.06080,0.99979,-0.06080,0.34993,-0.06080,0.34993,1,0,0
149,1775827771.7736,-0.05648,0.99977,-0.05648,0.34992,-0.05648,0.34992,1,0,0
150,1775827771.8952,-0.28356,0.99981,-0.28356,0.34993,-0.28356,0.34993,1,0,0
151,1775827772.0512,-0.25407,0.99975,-0.25407,0.34991,-0.25407,0.34991,1,0,0
152,1775827772.1797,-0.16180,0.99982,-0.16180,0.34994,-0.16180,0.34994,1,0,0
153,1775827772.2921,-0.19060,0.99967,-0.19060,0.34989,-0.19060,0.34989,1,0,0
154,1775827772.4080,-0.37476,0.99996,-0.37476,0.34999,-0.37476,0.34999,1,0,0
155,1775827772.5452,-0.45934,0.99995,-0.45934,0.34998,-0.45934,0.34998,1,0,0
156,1775827772.6886,-0.11630,0.99922,-0.11630,0.34973,-0.11630,0.34973,1,0,0
157,1775827772.8124,-0.06912,0.99982,-0.06912,0.34994,-0.06912,0.34994,1,0,0
158,1775827772.9642,+0.05420,0.99980,+0.05420,0.34993,+0.05420,0.34993,1,0,0
159,1775827773.0850,-0.02350,0.99965,-0.02350,0.34988,-0.02350,0.34988,0,0,0
160,1775827773.2189,+0.27436,0.99973,+0.27436,0.34990,+0.27436,0.34990,1,0,0
161,1775827773.3330,+0.38487,0.99864,+0.38487,0.34952,+0.38487,0.34952,1,0,0
162,1775827773.4392,+0.33032,0.99941,+0.33032,0.34979,+0.33032,0.34979,1,0,0
163,1775827773.5681,+0.18524,0.99985,+0.18524,0.34995,+0.18524,0.34995,1,0,0
164,1775827773.6720,+0.08221,0.99960,+0.08221,0.34986,+0.08221,0.34986,1,0,0
165,1775827773.8119,+0.00862,0.99989,+0.00862,0.34996,+0.00862,0.34996,1,0,0
166,1775827773.9461,-0.03077,0.99980,-0.03077,0.34993,-0.03077,0.34993,1,0,0
167,1775827774.0857,+0.01413,0.99976,+0.01413,0.34991,+0.01413,0.34991,1,0,0
168,1775827774.2392,+0.02808,0.99987,+0.02808,0.34996,+0.02808,0.34996,1,0,0
169,1775827774.3760,+0.32954,0.99934,+0.32954,0.34977,+0.32954,0.34977,1,0,0
170,1775827774.4825,+0.29008,0.99948,+0.29008,0.34982,+0.29008,0.34982,1,0,0
171,1775827774.6279,+0.18162,0.99954,+0.18162,0.34984,+0.18162,0.34984,1,0,0
172,1775827774.7383,+0.08461,0.99961,+0.08461,0.34986,+0.08461,0.34986,0,0,0
173,1775827774.8720,+0.00440,0.99964,+0.00440,0.34987,+0.00440,0.34987,0,0,0
174,1775827774.9802,-0.06834,0.99973,-0.06834,0.34990,-0.06834,0.34990,1,0,0
175,1775827775.1379,-0.07952,0.99979,-0.07952,0.34993,-0.07952,0.34993,1,0,0
176,1775827775.2861,-0.22936,0.99984,-0.22936,0.34994,-0.22936,0.34994,1,0,0
177,1775827775.4450,-0.27543,0.99974,-0.27543,0.34991,-0.27543,0.34991,1,0,0
178,1775827775.6200,-0.42320,0.99983,-0.42320,0.34994,-0.42320,0.34994,1,0,0
179,1775827775.7771,-0.34850,0.99976,-0.34850,0.34992,-0.34850,0.34992,1,0,0
180,1775827775.9202,-0.12216,0.99994,-0.12216,0.34998,-0.12216,0.34998,1,0,0
181,1775827776.1011,+0.24708,0.99986,+0.24708,0.34995,+0.24708,0.34995,1,0,0
182,1775827776.2478,+0.58890,0.99978,+0.58890,0.34992,+0.58890,0.34992,1,0,0
183,1775827776.3862,+0.76577,0.99974,+0.76577,0.34991,+0.76577,0.34991,1,0,0
184,1775827776.5208,+0.87523,0.99966,+0.87523,0.34988,+0.87523,0.34988,1,0,0
